partner_group,flow_india,cmdCode,cmdDesc,trade_value_usd,partner_flow_total_usd,sample_share
European Union,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",36040328022.631,310109029674.586,0.11621824769323887
European Union,Export,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",27001539393.816,310109029674.586,0.08707111631721966
European Union,Export,72,Iron and steel,20758183994.816998,310109029674.586,0.0669383410621731
European Union,Export,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",16480938949.647,310109029674.586,0.05314562741672286
European Union,Export,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",15475991909.867,310109029674.586,0.04990500252800374
European Union,Export,30,Pharmaceutical products,12191521928.857,310109029674.586,0.03931366313857489
European Union,Export,61,Apparel and clothing accessories; knitted or crocheted,11087403535.901001,310109029674.586,0.035753243133666915
European Union,Export,62,Apparel and clothing accessories; not knitted or crocheted,10074355149.545,310109029674.586,0.032486494056998466
European Union,Export,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",9018187902.814001,310109029674.586,0.029080700785389154
European Union,Export,73,Iron or steel articles,8996665717.795,310109029674.586,0.029011298791382124
European Union,Export,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",7526500438.815001,310109029674.586,0.024270497530216907
European Union,Export,40,Rubber and articles thereof,6485941613.897,310109029674.586,0.02091503630417678
European Union,Export,39,Plastics and articles thereof,6290658423.288,310109029674.586,0.02028531200748693
European Union,Export,76,Aluminium and articles thereof,6149791731.537,310109029674.586,0.019831063087683405
European Union,Export,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",6065284572.283,310109029674.586,0.019558555191532566
European Union,Export,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",5899437884.111,310109029674.586,0.01902375396905274
European Union,Export,64,Footwear; gaiters and the like; parts of such articles,5861719314.857,310109029674.586,0.018902123943337013
European Union,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",4488304601.127,310109029674.586,0.014473311550575674
European Union,Export,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",4269273342.234,310109029674.586,0.013767007515756562
European Union,Export,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",3978546760.657,310109029674.586,0.012829509559369819
European Union,Export,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",3164320877.977,310109029674.586,0.010203897904222561
European Union,Export,9,"Coffee, tea, mate and spices",3106684856.094,310109029674.586,0.010018040620597248
European Union,Export,52,Cotton,2561539162.9639997,310109029674.586,0.00826012440093073
European Union,Export,38,Chemical products n.e.c.,2403926051.772,310109029674.586,0.00775187376612209
European Union,Export,57,Carpets and other textile floor coverings,2145563839.99,310109029674.586,0.0069187402967319424
European Union,Export,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1956960664.047,310109029674.586,0.006310556858342834
European Union,Export,69,Ceramic products,1801323861.639,310109029674.586,0.005808679171739131
European Union,Export,8,"Fruit and nuts, edible; peel of citrus fruit or melons",1556511397.914,310109029674.586,0.005019239199669003
European Union,Export,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1481745281.943,310109029674.586,0.004778142976029672
European Union,Export,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1431635925.504,310109029674.586,0.004616556722022226
European Union,Export,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1339311889.836,310109029674.586,0.004318841960975504
European Union,Export,83,Metal; miscellaneous products of base metal,1247236379.616,310109029674.586,0.004021928613058419
European Union,Export,10,Cereals,1241356036.6069999,310109029674.586,0.004002966433804334
European Union,Export,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1201557566.817,310109029674.586,0.0038746294104298044
European Union,Export,70,Glass and glassware,1140836927.025,310109029674.586,0.003678825244857079
European Union,Export,55,Man-made staple fibres,1074799673.334,310109029674.586,0.003465876741679676
European Union,Export,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1057403109.22,310109029674.586,0.0034097785231522915
European Union,Export,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",1045681886.928,310109029674.586,0.0033719814222284658
European Union,Export,23,"Food industries, residues and wastes thereof; prepared animal fodder",1023157287.298,310109029674.586,0.003299346969585677
European Union,Export,54,Man-made filaments; strip and the like of man-made textile materials,953527650.798,310109029674.586,0.0030748142090495966
